Day,Treatment,Test,Replicates,SelectedLoci,Corrected
0,Ambient,NA,1,0,0
0,Low,NA,1,0,0
6,Ambient,FET,1,366,366
6,Low,FET,1,299,299
6,Ambient_Low,FET,1,248,248
6,Ambient_Size,CMH,2,963,481.5
6,Low_Size,CMH,2,848,424
6,Large,FET,1,349,349
6,Large,FET,1,247,247
6,Large,FET,1,253,253
6,Large,FET,1,209,209
6,Small,FET,1,226,226
6,Small,FET,1,206,206
6,Small,FET,1,250,250
6,Small,FET,1,246,246
26,Ambient,CMH,3,3597,1199
26,Low,CMH,3,3053,1017.666667
43,Ambient,CMH,2,2615,1307.5
43,Low,CMH,3,4309,1436.333333
26,Ambient,FET,1,303,303
26,Ambient,FET,1,552,552
26,Ambient,FET,1,472,472
26,Low,FET,1,324,324
26,Low,FET,1,473,473
26,Low,FET,1,339,339
43,Ambient,FET,1,612,612
43,Ambient,FET,1,949,949
43,Low,FET,1,526,526
43,Low,FET,1,365,365
43,Low,FET,1,925,925
43,Ambient,CMH,2,2615,1307.5
43,Low,CMH,3,4309,1436.333333
43,Low,CMH,2,1559,779.5
43,Low,CMH,2,2267,1133.5
43,Low,CMH,2,2225,1112.5
