LB,Treatment,Day,Individual,Length,Height
1,Low,3,1,104.603,73.722
1,Low,3,2,93.614,70.142
1,Low,3,3,105.903,77.162
1,Low,3,4,102.942,72.05
1,Low,3,5,106.929,73.177
1,Low,3,6,95.466,68.153
1,Low,3,7,96.581,70.034
1,Low,3,8,110.198,72.905
1,Low,3,9,105.938,74.043
1,Low,3,10,94.931,69.045
1,Low,3,11,106.667,76.8
1,Low,3,12,100.231,70.258
1,Low,3,13,84.248,56.539
1,Low,3,14,104.686,70.738
1,Low,3,15,98.242,73.356
1,Low,3,16,100.455,71.483
1,Low,3,17,96.013,72.433
1,Low,3,18,94.372,69.577
1,Low,3,19,105.965,68.846
1,Low,3,20,103.279,76.199
1,Low,3,21,91.175,69.614
1,Low,3,22,99.823,68.015
1,Low,3,23,95.877,71.152
1,Low,3,24,100.226,70.1
1,Low,3,25,98.615,73.194
1,Low,3,26,101.149,69.038
1,Low,3,27,104.274,74.562
1,Low,3,28,93.514,67.32
1,Low,3,29,105.664,76.756
1,Low,3,30,108.48,71.636
1,Low,3,31,97.618,73.032
1,Low,3,32,94.655,69.065
1,Low,3,33,101.579,68.707
1,Low,3,34,96.484,71.696
1,Low,3,35,107.213,75.291
1,Low,3,36,100.335,68.362
1,Low,3,37,102.822,69.628
1,Low,3,38,106.999,73.799
1,Low,3,39,100.92,76.824
1,Low,3,40,100.982,70.499
1,Low,3,41,104.281,74.926
1,Low,3,42,101.565,73.883
1,Low,3,43,105.985,73.85
1,Low,3,44,102.946,73.402
1,Low,3,45,103.103,70.446
1,Low,3,46,97.549,68.571
1,Low,3,47,103.487,76.302
1,Low,3,48,101.433,68.952
1,Low,3,49,103.652,74.004
1,Low,3,50,103.154,69.639
2,Low,3,1,107.869,76.65
2,Low,3,2,98.41,72.581
2,Low,3,3,98.623,67.383
2,Low,3,4,100.381,72.827
2,Low,3,5,103.555,72.975
2,Low,3,6,88.523,66.716
2,Low,3,7,97.44,72.544
2,Low,3,8,102.681,74.504
2,Low,3,9,103.475,75.971
2,Low,3,10,107.328,76.944
2,Low,3,11,101.452,72.775
2,Low,3,12,106.834,77.145
2,Low,3,13,99.708,71.777
2,Low,3,14,97.513,70.993
2,Low,3,15,103.342,72.753
2,Low,3,16,105.284,72.273
2,Low,3,17,93.406,71.581
2,Low,3,18,99.707,72.294
2,Low,3,19,99.582,72.289
2,Low,3,20,95.292,72.504
2,Low,3,21,86.638,62.204
2,Low,3,22,104.204,74.936
2,Low,3,23,107.422,76.481
2,Low,3,24,102.095,72.32
2,Low,3,25,99.335,78.332
2,Low,3,26,98.228,71.892
2,Low,3,27,96.965,71.911
2,Low,3,28,98.355,72.191
2,Low,3,29,112.196,80.917
2,Low,3,30,92.599,71.082
2,Low,3,31,101.244,66.406
2,Low,3,32,101.223,74.581
2,Low,3,33,107.368,75.471
2,Low,3,34,96.811,69.001
2,Low,3,35,108.345,72.632
2,Low,3,36,93.588,73.678
2,Low,3,37,99.151,71.532
2,Low,3,38,101.983,75.706
2,Low,3,39,99.588,72.454
2,Low,3,40,96.39,67.584
2,Low,3,41,95.682,68.771
2,Low,3,42,104.652,77.136
2,Low,3,43,108.928,77.834
2,Low,3,44,99.557,74.95
2,Low,3,45,102.112,71.421
2,Low,3,46,100.421,71.771
2,Low,3,47,99.242,69.691
2,Low,3,48,98.241,71.337
2,Low,3,49,96.145,65.838
2,Low,3,50,105.214,75.486
2,Low,3,51,99.452,69.816
2,Low,3,52,97.871,69.1
2,Low,3,53,100.206,71.777
2,Low,3,54,105.52,72.075
2,Low,3,55,106.089,74.952
2,Low,3,56,94.869,69.368
2,Low,3,57,98.371,68.796
2,Low,3,58,95.368,72.775
2,Low,3,59,92.169,67.02
2,Low,3,60,100.349,72.421
2,Low,3,61,102.079,72.673
2,Low,3,62,93.514,68.901
2,Low,3,63,106.489,75.864
2,Low,3,64,99.201,72.2
2,Low,3,65,109.695,74.627
2,Low,3,66,99.53,74.969
2,Low,3,67,104.103,74.447
2,Low,3,68,104.282,75.057
2,Low,3,69,98.086,73.361
2,Low,3,70,91.476,69.662
3,Low,3,1,99.224,69.282
3,Low,3,2,92.346,67.916
3,Low,3,3,100.996,71.813
3,Low,3,4,105.554,72.391
3,Low,3,5,102.149,70.35
3,Low,3,6,98.357,72.43
3,Low,3,7,109.354,74.93
3,Low,3,8,100.805,72.406
3,Low,3,9,106.396,75.423
3,Low,3,10,106.391,74.954
3,Low,3,11,96.914,67.955
3,Low,3,12,92.771,66.712
3,Low,3,13,99.66,68.215
3,Low,3,14,104.292,70.748
3,Low,3,15,103.846,71.452
3,Low,3,16,105.634,73.586
3,Low,3,17,89.468,70.831
3,Low,3,18,97.374,72.907
3,Low,3,19,94.47,70.205
3,Low,3,20,96.045,74.406
3,Low,3,21,100.506,69.033
3,Low,3,22,99.445,70.004
3,Low,3,23,100.561,71.615
3,Low,3,24,93.568,66.558
3,Low,3,25,104.9,75.39
3,Low,3,26,98.272,72.275
3,Low,3,27,102.772,69.397
3,Low,3,28,105.822,72.837
3,Low,3,29,97.205,71.179
3,Low,3,30,94.187,70.265
3,Low,3,31,99.036,71.378
3,Low,3,32,104.214,77.088
3,Low,3,33,111.064,73.565
3,Low,3,34,96.875,68.928
3,Low,3,35,100.618,69.532
3,Low,3,36,108.712,71.944
4,High,3,1,109.994,75.446
4,High,3,2,109.074,75.104
4,High,3,3,107.856,74.326
4,High,3,4,107.389,74.511
4,High,3,5,112.078,76.795
4,High,3,6,106.818,79.255
4,High,3,7,109,76.237
4,High,3,8,111.896,76.664
4,High,3,9,103.217,73.579
4,High,3,10,108.822,78.336
