LB,Treatment,Size_Class,Larvae,Length,Height,,,,
2,Low,M,1,111.894,81.134,,,,
2,Low,M,2,102.787,73.402,,,,
2,Low,M,3,110.737,76.164,,,,
2,Low,M,4,111.018,79.088,,,,
2,Low,M,5,107.369,74.881,,,,
2,Low,M,6,109.684,80.961,,,,
2,Low,M,7,115.999,75.528,,,,
2,Low,M,8,110.424,77.05,,,,
2,Low,M,9,113.884,84.095,,,,
2,Low,M,10,106.284,78.709,,,,
2,Low,M,11,110.168,78.709,,,,
2,Low,M,12,112.717,79.682,,,,
2,Low,M,13,112.996,80.058,,,,
2,Low,M,14,107.111,79.242,,,,
2,Low,M,15,113.02,81.523,,,,
2,Low,M,16,110.753,76.127,,,,
2,Low,M,17,104.239,75.029,,,,
2,Low,M,18,107.908,80.656,,,,
2,Low,M,19,112.77,80.782,,,,
2,Low,M,20,110.096,80.316,,,,
2,Low,M,21,108.477,79.917,,,,
2,Low,M,22,110.577,80.128,,,,
2,Low,M,23,107.027,79.809,,,,
2,Low,M,24,111.038,81.555,,,,
2,Low,M,25,106.548,80.666,,,,
2,Low,M,26,103.09,73.807,,,,
2,Low,M,27,108.353,83.705,,,,
2,Low,M,28,108.491,76.815,,,,
2,Low,M,29,105.915,82.603,,,,
2,Low,M,30,116.458,82.717,,,,
2,Low,M,31,102.3,71.085,,,,
2,Low,M,32,108.699,79.832,,,,
2,Low,M,33,108.55,82.512,,,,
2,Low,M,34,93.825,77.006,,,,
2,Low,M,35,99.865,77.966,,,,
2,Low,M,36,112.717,82.092,,,,
2,Low,M,37,105.88,78.494,,,,
2,Low,M,38,115.3,80.316,,,,
2,Low,M,39,103.385,75.259,,,,
2,Low,M,40,106.813,77.966,,,,
2,Low,M,41,110.835,79.109,,,,
2,Low,M,42,101.932,80.353,,,,
2,Low,M,43,103.02,78.134,,,,
2,Low,M,44,97.997,71.079,,,,
2,Low,M,45,108.633,80.128,,,,
2,Low,M,46,107.769,77.395,,,,
2,Low,M,47,113.325,81.43,,,,
2,Low,M,48,105.915,77.108,,,,
2,Low,M,49,111.722,80.353,,,,
2,Low,M,50,112.249,85.2,,,,
2,Low,M,51,106.746,76.722,,,,
2,Low,M,52,109.717,79.903,,,,
2,Low,M,53,98.353,75.139,,,,
2,Low,M,54,105.809,77.191,,,,
2,Low,M,55,104.828,74.899,,,,
2,Low,M,56,110.498,76.84,,,,
2,Low,M,57,106.369,74.567,,,,
2,Low,M,58,108.937,80.633,,,,
2,Low,M,59,111.088,78.695,,,,
2,Low,M,60,115.003,81.61,,,,
2,Low,M,61,117.072,79.861,,,,
