LB,Treatment,SizeClass,Indivudal,Length,Height
7,Low,Large,1,111.836,86.64
7,Low,Large,2,98.628,84.319
7,Low,Large,3,114.557,88.92
7,Low,Large,4,108.934,87.136
7,Low,Large,5,120.831,90.717
7,Low,Large,6,105.473,87.408
7,Low,Large,7,110.297,90.14
7,Low,Large,8,107.409,83.293
7,Low,Large,9,111.334,87.986
7,Low,Large,10,109.352,83.203
7,Low,Large,1,117.313,86.752
7,Low,Large,2,116.696,88.063
7,Low,Large,3,106.863,83.877
7,Low,Large,4,112.316,85.112
7,Low,Large,5,110.21,86.027
7,Low,Large,6,116.401,83.665
7,Low,Large,7,110.247,87.003
7,Low,Large,8,108.159,85.653
7,Low,Large,9,114.861,85.416
7,Low,Large,10,98.125,84.112
7,Low,Large,11,106.291,83.72
7,Low,Large,12,103.066,83.576
7,Low,Large,13,113.14,81.808
7,Low,Large,14,107.85,79.741
7,Low,Large,15,115.049,83.55
7,Low,Large,16,107.991,84.749
7,Low,Large,17,102.02,80.179
7,Low,Large,18,107.942,86.37
7,Low,Large,19,115.055,83.473
7,Low,Large,20,114.412,78.973
7,Low,Large,21,124.278,85.361
7,Low,Large,22,113.078,83.609
7,Low,Large,23,103.024,84.6
7,Low,Large,24,113.131,87.318
7,Low,Large,25,103.316,85.692
7,Low,Large,26,107.491,83.89
7,Low,Large,27,109.646,85.118
7,Low,Large,28,115.617,86.98
7,Low,Large,29,110.56,86.362
7,Low,Large,30,111.689,82.982
7,Low,Large,31,108.097,82.235
7,Low,Large,32,104.589,79.563
7,Low,Large,33,107.5,84.838
7,Low,Large,34,113.083,81.586
7,Low,Large,35,107.605,85.266
7,Low,Large,36,103.591,82.47
7,Low,Large,37,110.002,85.63
7,Low,Large,38,110.993,84.657
7,Low,Large,39,114.387,85.056
7,Low,Large,40,113.453,84.125
7,Low,Large,41,106.75,84.911
7,Low,Large,42,111.39,81.51
7,Low,Large,43,109.441,80.782
7,Low,Large,44,112.901,84.176
7,Low,Large,45,109.217,87.41
7,Low,Large,46,112.249,81.691
7,Low,Large,47,101.816,84.648
7,Low,Large,48,108.729,83.353
7,Low,Large,49,115.188,80.917
7,Low,Large,50,117.254,85.006
7,Low,Large,51,111.999,82.266
7,Low,Large,52,105.381,81.257
7,Low,Large,53,115.232,84.612
7,Low,Large,54,105.656,82.091
7,Low,Large,55,107.641,82.532
7,Low,Large,56,110.24,82.604
7,Low,Large,57,107.052,83.963
7,Low,Large,58,101.826,81.853
7,Low,Large,59,107.706,82.03
7,Low,Large,60,120.39,84.675
7,Low,Large,61,114.256,86.318
7,Low,Large,62,100.355,76.613
7,Low,Large,63,107.544,80.917
7,Low,Large,64,109.284,79.632
7,Low,Large,65,108.949,85.093
7,Low,Large,66,118.31,87.135
7,Low,Large,67,114.408,83.395
7,Low,Large,68,104.688,81.062
7,Low,Large,69,106.737,79.901
7,Low,Large,70,107.172,82.95
7,Low,Large,71,110.77,86.578
7,Low,Large,72,102.727,77.787
7,Low,Large,73,108.172,85.349
7,Low,Large,74,109.938,80.61
7,Low,Large,75,108.154,81.746
7,Low,Large,76,99.641,78.309
7,Low,Large,77,112.286,83.938
7,Low,Large,78,107.364,80.469
7,Low,Large,79,107.388,83.37
7,Low,Large,80,111.897,84.008
7,Low,Large,81,106.753,82.915
7,Low,Large,82,114.917,86.365
7,Low,Large,83,105.229,83.418
7,Low,Large,84,113.55,82.975
7,Low,Large,85,107.711,82.781
7,Low,Large,86,107.698,80.931
7,Low,Large,87,113.607,81.892
7,Low,Large,88,96.716,74.755
7,Low,Large,89,107.553,81.814
7,Low,Small,1,106.503,79.575
7,Low,Small,2,102.613,75.958
7,Low,Small,3,107.346,80.61
7,Low,Small,4,105.038,77.92
7,Low,Small,5,107.297,82.341
7,Low,Small,6,106.378,78.802
7,Low,Small,7,101.841,78.099
7,Low,Small,8,105.963,80.467
7,Low,Small,9,106.821,80.1
7,Low,Small,10,107.107,78.064
7,Low,Small,11,109.52,80.959
7,Low,Small,12,105.64,77.721
7,Low,Small,13,99.773,76.033
7,Low,Small,14,93.1,79.136
7,Low,Small,15,97.608,78.68
7,Low,Small,16,106.906,77.838
7,Low,Small,17,103.877,82.029
7,Low,Small,18,95.424,74.003
7,Low,Small,19,107.406,74.247
7,Low,Small,20,100.197,72.381
7,Low,Small,21,95.816,75.836
7,Low,Small,22,108.781,83.803
7,Low,Small,23,103.371,77.968
7,Low,Small,24,103.216,82.202
7,Low,Small,25,102.219,76.686
7,Low,Small,26,94.503,81.041
7,Low,Small,27,107.161,81.077
7,Low,Small,28,106.742,82.065
7,Low,Small,29,108.636,83.606
7,Low,Small,30,104.061,79.502
7,Low,Small,31,110.959,83.352
7,Low,Small,32,103.936,83.396
7,Low,Small,33,88.238,60.79
7,Low,Small,34,113.779,83.97
7,Low,Small,35,106.284,71.336
7,Low,Small,36,102.307,75.393
7,Low,Small,37,90.337,75.936
7,Low,Small,38,97.493,71.968
7,Low,Small,39,106.129,78.264
7,Low,Small,40,108.41,84.821
7,Low,Small,41,107.033,79.447
7,Low,Small,42,105.951,78.747
7,Low,Small,43,107.433,80.4
7,Low,Small,44,110.188,81.214
7,Low,Small,45,104.753,80.953
7,Low,Small,46,105.297,78.52
7,Low,Small,47,102.618,80.335
7,Low,Small,48,104.91,76.528
7,Low,Small,49,110.105,80.808
7,Low,Small,50,100.309,82.007
7,Low,Small,51,100.196,76.528
7,Low,Small,52,96.297,71.442
7,Low,Small,53,97.259,74.717
7,Low,Small,54,86.499,73.999
7,Low,Small,55,104.533,74.043
7,Low,Small,56,108.37,80.834
7,Low,Small,57,106.103,77.468
7,Low,Small,58,100.714,73.856
7,Low,Small,59,105.143,73.859
7,Low,Small,60,103.892,78.051
7,Low,Small,61,103.658,81.762
7,Low,Small,62,103.532,78.627
7,Low,Small,63,105.291,81.812
7,Low,Small,64,106.034,81.203
7,Low,Small,65,104.377,79.088
7,Low,Small,66,102.974,80.266
7,Low,Small,67,108.245,82.761
7,Low,Small,68,117.487,84.678
7,Low,Small,69,98.806,81.949
7,Low,Small,70,96.807,75.115
7,Low,Small,71,99.421,74.598
7,Low,Small,72,109.505,77.158
7,Low,Small,73,105.679,78.579
7,Low,Small,74,103.246,81.11
7,Low,Small,75,106.681,80.573
7,Low,Small,76,100.179,74.683
7,Low,Small,77,105.866,79.356
7,Low,Small,78,104.789,74.937
7,Low,Small,79,100.032,79.18
7,Low,Small,80,98.359,77.975
7,Low,Small,81,101.836,77.677
7,Low,Small,82,106.906,82.816
7,Low,Small,83,105.649,77.351
7,Low,Small,84,111.956,82.019
7,Low,Small,85,107.145,78.819
7,Low,Small,86,96.286,73.944
7,Low,Small,87,111.195,82.265
7,Low,Small,88,105.983,79.038
7,Low,Small,89,111.925,82.672
7,Low,Small,90,98.141,75.783
7,Low,Small,91,103.147,78.363
7,Low,Small,92,103.15,69.839
7,Low,Small,93,110.868,82.565
7,Low,Small,94,108.996,77.705
7,Low,Small,95,107.477,78.977
7,Low,Small,96,102.212,82.281
7,Low,Small,97,105.729,81.149
7,Low,Small,98,106.466,75.016
7,Low,Small,99,104.403,81.407
7,Low,Small,1,101.19,71.168
7,Low,Small,2,105.592,78.802
7,Low,Small,3,93.344,67.841
7,Low,Small,4,98.281,76.577
7,Low,Small,5,98.387,67.467
7,Low,Small,6,97.032,73.557
7,Low,Small,7,89.129,66.516
7,Low,Small,8,100.04,76.438
7,Low,Small,9,101.018,78.448
7,Low,Small,10,102.127,75.059
7,Low,Small,11,97.117,66.834
7,Low,Small,12,94.448,73.289
7,Low,Small,13,96.799,67.698
7,Low,Small,14,97.216,72.508
7,Low,Small,15,101.018,77.181
7,Low,Small,16,96.135,69.483
7,Low,Small,17,96.046,69.696
7,Low,Small,18,90.36,67.194
7,Low,Small,19,92.774,70.366
7,Low,Small,20,92.249,69.591
7,Low,Small,21,94.562,71.871
7,Low,Small,22,93.716,69.699
7,Low,Small,23,98.418,67.652
7,Low,Small,24,100.388,72.057
7,Low,Small,25,93.067,71.431
7,Low,Small,26,97.869,77.294
7,Low,Small,27,98.32,69.774
7,Low,Small,28,82.098,66.342
7,Low,Small,29,86.102,68.107
7,Low,Small,30,98.793,82.769
7,Low,Small,31,99.697,72.612
7,Low,Small,32,100.194,69.958
7,Low,Small,33,99.598,74.226
7,Low,Small,34,95.239,72.901
7,Low,Small,35,89.94,65.309
7,Low,Small,36,96.989,70.368
7,Low,Small,37,97.621,71.771
7,Low,Small,38,89.629,62.063
7,Low,Small,39,96.538,70.431
7,Low,Small,40,102.455,71.025
7,Low,Small,41,102.187,72.79
7,Low,Small,42,97.723,71.715
7,Low,Small,43,79.63,60.086
7,Low,Small,44,94.518,72.65
7,Low,Small,45,105.609,76.324
7,Low,Small,46,87.967,67.822
7,Low,Small,47,86.876,69.367
7,Low,Small,48,93.138,69.926
7,Low,Small,49,100.848,70.127
7,Low,Small,50,96.153,69.549
7,Low,Small,51,110.673,76.449
7,Low,Small,1,89.373,70.756
7,Low,Small,2,108.686,78.962
7,Low,Small,3,106.909,77.838
7,Low,Small,4,95.717,73.84
7,Low,Small,5,93.541,75.451
7,Low,Small,6,100.01,71.952
7,Low,Small,7,108.621,81.939
7,Low,Small,8,110.255,81.558
7,Low,Small,9,102.691,78.386
7,Low,Small,10,107.897,78.952
7,Low,Small,11,97.312,73.444
7,Low,Small,12,107.94,81.134
7,Low,Small,13,116.128,82.044
7,Low,Small,14,95.361,74.102
7,Low,Small,15,102.218,78.123
7,Low,Small,16,93.457,71.174
7,Low,Small,17,94.274,75.453
7,Low,Small,18,87.708,67.914
7,Low,Small,19,97.928,66.336
7,Low,Small,20,90.738,65.751
7,Low,Small,21,103.806,69.124
7,Low,Small,22,104.269,77.542
7,Low,Small,23,111.975,84.363
7,Low,Small,24,108.479,79.592
7,Low,Small,25,108.222,76.664
7,Low,Small,26,105.549,76.052
7,Low,Small,27,96.634,70.395
11,High,Large,1,114.916,81.957
11,High,Large,2,103.427,76.713
11,High,Large,3,119.441,88.134
11,High,Large,4,113.859,90.893
11,High,Large,5,110.271,81.071
11,High,Large,6,116.158,85.739
11,High,Large,7,108.097,79.008
11,High,Large,8,122.637,90.006
11,High,Large,9,106.258,85.896
11,High,Large,10,118.208,87.038
11,High,Large,11,108.802,77.653
11,High,Large,12,115.276,85.934
11,High,Large,1,114.582,84.238
11,High,Large,2,112.211,83.978
11,High,Large,3,113.484,86.614
11,High,Large,4,116.486,85.399
11,High,Large,5,116.883,84.11
11,High,Large,6,111.354,84.552
11,High,Large,7,115.45,85.573
11,High,Large,8,115.489,84.301
11,High,Large,9,115.622,82.989
11,High,Large,10,111.39,86.693
11,High,Large,11,114.052,84.067
11,High,Large,12,121.529,88.468
11,High,Large,13,113.386,83.824
11,High,Large,14,115.889,84.566
11,High,Large,15,115.764,84.872
11,High,Large,16,116.66,87.318
11,High,Large,17,116.954,85.536
11,High,Large,18,114.573,84.694
11,High,Large,19,115.725,84.466
11,High,Large,20,115.489,86.422
11,High,Large,21,121.914,86.642
11,High,Large,22,121.55,88.071
11,High,Large,23,118.448,87.329
11,High,Large,24,113.89,87.408
11,High,Large,25,115.207,88.278
11,High,Large,26,117.261,85.072
11,High,Large,27,116.442,86.984
11,High,Large,28,117.049,87.183
11,High,Large,29,116.284,84.513
11,High,Large,30,119.138,88.897
11,High,Large,31,112.441,85.266
11,High,Large,32,114.948,84.385
11,High,Large,33,104.138,78.282
11,High,Large,34,114.383,83.645
11,High,Large,35,118.416,86.727
11,High,Large,36,118.534,86.844
11,High,Large,37,116.007,84.187
11,High,Large,38,118.415,86.219
11,High,Large,39,117.68,85.34
11,High,Large,40,121.939,88.437
11,High,Large,41,117.069,88.118
11,High,Large,42,122.049,90.263
11,High,Large,43,113.395,83.773
11,High,Large,44,122.992,89.188
11,High,Large,45,117.621,87.194
11,High,Large,46,120.004,89.873
11,High,Large,47,124.728,90.005
11,High,Large,48,118.808,86.591
11,High,Large,49,100.276,70.58
11,High,Large,50,117.709,86.431
11,High,Large,51,111.837,87.706
11,High,Large,52,117.979,86.07
11,High,Large,53,119.235,84.523
11,High,Large,54,120.689,87.757
11,High,Large,55,115.418,83.25
11,High,Large,56,117.624,87.054
11,High,Large,57,116.692,86.984
11,High,Large,58,107.658,81.949
11,High,Large,59,119.365,84.949
11,High,Large,60,114.449,82.763
11,High,Large,61,117.713,87.423
11,High,Large,62,105.125,77.013
11,High,Large,63,115.234,83.215
11,High,Large,64,116.977,84.856
11,High,Large,65,117.742,85.271
11,High,Large,66,114.513,83.7
11,High,Large,67,118.692,86.976
11,High,Large,68,108.264,84.367
11,High,Large,69,116.901,86.153
11,High,Large,70,116.464,87.279
11,High,Large,71,115.615,87.552
11,High,Large,72,116.954,82.778
11,High,Large,73,116.522,87.475
11,High,Large,74,113.097,84.831
11,High,Large,75,119.599,82.667
11,High,Large,76,104.376,78.911
11,High,Large,77,120.393,84.176
11,High,Large,78,116.234,88.375
11,High,Large,79,114.9,83.021
11,High,Large,80,119.226,87.382
11,High,Large,81,115.51,88.226
11,High,Large,82,111.988,81.61
11,High,Large,83,114.931,85.371
11,High,Large,84,115.038,83.972
11,High,Small,1,110.157,80.66
11,High,Small,2,107.73,84.435
11,High,Small,3,115.51,82.41
11,High,Small,4,107.925,82.639
11,High,Small,5,112.629,79.669
11,High,Small,6,112.441,80.915
11,High,Small,7,112.458,83.556
